date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
18:00:49	0/0	---M--	404	error ('Not%20Found')	text/html	date:Fri,%2015%20Sep%202023%2010:00:44%20GMT	https://guidehouse.com/robots.txt		(from )
18:00:49	70199/70199	---M--	200	added ('OK')	text/html	date:Fri,%2015%20Sep%202023%2010:00:45%20GMT	https://guidehouse.com/	C:/My%20Web%20Sites/AGI/guidehouse.com/index.html	(from )
18:00:50	163873/163873	---M-Z	200	added ('OK')	text/css	etag:W/%2228021-7Ba9Gb9K6bwuIzasQJpQO7varK0%22	https://cdn.jsdelivr.net/npm/bootstrap@5.1.3/dist/css/bootstrap.min.css	C:/My%20Web%20Sites/AGI/cdn.jsdelivr.net/npm/bootstrap@5.1.3/dist/css/bootstrap.min.css	(from https://guidehouse.com/)
18:00:50	80510/80510	---M-Z	200	added ('OK')	text/css	etag:W/%2213a7e-T26mnA4DQx/6Ggl6RUU7WzskbYs%22	https://cdn.jsdelivr.net/npm/bootstrap-icons@1.8.1/font/bootstrap-icons.css	C:/My%20Web%20Sites/AGI/cdn.jsdelivr.net/npm/bootstrap-icons@1.8.1/font/bootstrap-icons.css	(from https://guidehouse.com/)
18:00:51	4157/4157	---M--	200	added ('OK')	text/css	etag:%22047ff793be7d91:0%22	https://guidehouse.com/Assets/src/css/owl.carousel.min.css	C:/My%20Web%20Sites/AGI/guidehouse.com/Assets/src/css/owl.carousel.min.css	(from https://guidehouse.com/)
18:00:51	4639/4639	---M--	200	added ('OK')	image/png	date:Thu,%2016%20Feb%202023%2017:26:57%20GMT	https://guidehouse.com/-/media/www/site/images/logos/guidehouse_180_110.ashx	C:/My%20Web%20Sites/AGI/guidehouse.com/-/media/www/site/images/logos/Guidehouse_180_110.png	(from https://guidehouse.com/)
18:00:52	28174/28174	---M--	200	added ('OK')	image/png	date:Thu,%2016%20Feb%202023%2017:26:57%20GMT	https://guidehouse.com/-/media/www/site/images/logos/guidehouse_506_506.ashx	C:/My%20Web%20Sites/AGI/guidehouse.com/-/media/www/site/images/logos/Guidehouse_506_506.png	(from https://guidehouse.com/)
18:00:52	238395/238395	---M--	200	added ('OK')	text/css	etag:%22047ff793be7d91:0%22	https://guidehouse.com/Assets/src/css/main.min.css?ver=638302958620000000	C:/My%20Web%20Sites/AGI/guidehouse.com/Assets/src/css/main.minaff4.css	(from https://guidehouse.com/)
18:00:52	1555/1555	---M--	400	error ('Bad%20Request')	text/html	date:Fri,%2015%20Sep%202023%2010:00:48%20GMT	https://www.googletagmanager.com/gtm.js?id=	C:/My%20Web%20Sites/AGI/www.googletagmanager.com/gtm.65445.delayed	(from https://guidehouse.com/)
18:00:53	10977/10977	---M--	200	added ('OK')	image/svg+xml	date:Thu,%2016%20Feb%202023%2017:26:57%20GMT	https://guidehouse.com/-/media/www/site/images/logos/gh-logo-black.ashx?la=en&hash=80ADB22FE13C2D3B7E025EC9D5B50AFE	C:/My%20Web%20Sites/AGI/guidehouse.com/-/media/www/site/images/logos/GH%20Logo%20Blackd9d2.svg	(from https://guidehouse.com/)
